                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6723,                 2.0012,                 1.4802,                 0.3461,                0.63016,                0.37005,                0.17256,                 2.7473,                 2.5161,                 1.8878,             0.00065728,             0.00065728,             0.00065728
                      2,                  1.692,                 1.2147,                 1.0707,                0.65589,                0.65501,                 0.6032,                0.23113,                 2.7723,                 2.1665,                 1.9205,              0.0012977,              0.0012977,              0.0012977
                      3,                 1.4541,                  1.026,                0.99843,                0.71821,                0.66229,                0.63826,                0.29139,                 2.7061,                 2.0641,                 2.1093,              0.0019118,              0.0019118,              0.0019118
                      4,                 1.3268,                0.95873,                0.96318,                0.76276,                0.67925,                0.69529,                0.40725,                 2.3975,                 2.0368,                 1.8186,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.1379,                0.87476,                0.91265,                0.83798,                0.73255,                0.74745,                0.41248,                 2.5583,                 2.4704,                 1.9223,              0.0018416,              0.0018416,              0.0018416
                      6,                0.99238,                0.74924,                0.87758,                0.85471,                0.73714,                0.75324,                0.48909,                 2.3799,                  1.879,                 1.8564,               0.001802,               0.001802,               0.001802
                      7,                0.93371,                0.69826,                0.86766,                0.85808,                0.75497,                0.77163,                0.55024,                 2.2186,                 2.0493,                 1.7911,              0.0017624,              0.0017624,              0.0017624
                      8,                0.88855,                0.65834,                0.85684,                0.86139,                0.74643,                0.76955,                0.56956,                 2.1136,                 1.9679,                 1.8739,              0.0017228,              0.0017228,              0.0017228
                      9,                0.82622,                0.59649,                0.84782,                0.88609,                0.74505,                0.77193,                0.52118,                 2.2412,                 2.1986,                 1.8094,              0.0016832,              0.0016832,              0.0016832
                     10,                0.81581,                0.56474,                0.84169,                0.91946,                0.74616,                0.76493,                 0.4963,                 2.3391,                   1.91,                 1.8571,              0.0016436,              0.0016436,              0.0016436
                     11,                0.79705,                 0.5166,                0.83822,                0.90864,                0.73936,                0.78948,                0.55768,                 2.3158,                 2.1098,                 1.8662,               0.001604,               0.001604,               0.001604
                     12,                0.72173,                0.47993,                0.82818,                0.94428,                0.76427,                0.82032,                0.64747,                 2.1322,                 2.2172,                  1.737,              0.0015644,              0.0015644,              0.0015644
                     13,                0.71203,                0.45256,                0.82422,                0.88096,                0.76595,                0.77657,                0.51741,                 2.2532,                 1.8523,                 1.8564,              0.0015248,              0.0015248,              0.0015248
                     14,                0.65646,                0.42325,                 0.8174,                0.91286,                0.75487,                0.80756,                0.61825,                  2.175,                 1.8211,                 1.8827,              0.0014852,              0.0014852,              0.0014852
                     15,                0.64148,                0.41747,                0.81608,                0.93215,                 0.7661,                0.82142,                0.64171,                 2.0161,                 2.0427,                 1.7998,              0.0014456,              0.0014456,              0.0014456
                     16,                0.62525,                0.40963,                0.81391,                0.94038,                0.76199,                0.82127,                0.65798,                 2.1384,                 1.9728,                 1.8273,               0.001406,               0.001406,               0.001406
                     17,                0.62516,                0.40768,                0.81415,                0.93196,                0.76957,                0.79961,                0.63265,                 2.0764,                 1.9829,                 1.8363,              0.0013664,              0.0013664,              0.0013664
