                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1178,                 2.4917,                 1.5956,                0.04454,                 0.3806,                 0.0584,                0.01655,                 3.0965,                  2.889,                 1.7396,             0.00065728,             0.00065728,             0.00065728
                      2,                 2.3421,                 1.7634,                 1.2415,                0.26496,                0.40319,                0.19083,                0.06206,                 2.8533,                 2.5134,                 1.6532,              0.0012977,              0.0012977,              0.0012977
                      3,                 2.0373,                 1.5318,                 1.1453,                0.37533,                0.51511,                0.35218,                 0.1331,                 2.8818,                 2.2329,                  1.787,              0.0019118,              0.0019118,              0.0019118
                      4,                 1.8349,                 1.4033,                 1.0922,                0.46795,                0.55436,                0.50097,                0.19699,                 2.7309,                 2.1893,                 1.7234,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.6499,                 1.2771,                  1.034,                0.56253,                0.61988,                0.54086,                0.23217,                 2.6266,                 2.0406,                 1.6982,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.5111,                  1.142,                0.98832,                0.65243,                 0.6577,                0.62619,                0.28908,                  2.611,                 2.1147,                 1.7835,               0.001802,               0.001802,               0.001802
                      7,                 1.4225,                 1.0657,                0.96945,                0.62136,                0.66814,                0.60984,                0.29952,                 2.7555,                 2.0467,                 1.7781,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.3451,                 1.0153,                0.94839,                0.74236,                0.69726,                0.67866,                 0.3634,                 2.3481,                   1.96,                 1.5897,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.2937,                0.97537,                0.94057,                0.66566,                0.70198,                0.65065,                0.33889,                 2.5634,                 1.9732,                  1.893,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.2735,                0.93725,                0.92855,                  0.784,                0.71499,                0.73588,                0.44397,                 2.3516,                 1.8314,                 1.7431,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.1848,                0.88593,                0.91609,                0.67978,                0.69475,                0.70244,                0.38727,                 2.5181,                 2.1351,                 1.7044,               0.001604,               0.001604,               0.001604
                     12,                 1.1412,                0.85034,                0.90515,                0.78552,                0.71579,                0.72177,                0.45615,                 2.3247,                 1.9877,                 1.7424,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.1241,                0.82412,                0.90019,                0.82038,                0.70169,                0.76874,                0.50634,                  2.115,                 1.9263,                 1.5532,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.0752,                0.78761,                0.88794,                0.82022,                0.73501,                0.75361,                0.44622,                 2.3506,                 1.7341,                 1.7618,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.0387,                0.75696,                0.88264,                0.86539,                0.73252,                 0.7685,                0.51741,                 2.2415,                 1.9745,                 1.7195,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.0223,                0.74849,                0.88019,                 0.8581,                0.72925,                0.78052,                0.52203,                 2.2249,                 1.7381,                 1.7003,               0.001406,               0.001406,               0.001406
                     17,                 1.0065,                0.73267,                 0.8764,                0.88093,                0.74702,                0.78233,                0.52572,                  2.222,                 1.7587,                  1.731,              0.0013664,              0.0013664,              0.0013664
                     18,                0.97504,                0.71399,                0.86856,                0.88319,                 0.7297,                0.78297,                0.53555,                 2.1911,                 1.7828,                 1.6562,              0.0013268,              0.0013268,              0.0013268
                     19,                0.94765,                0.67372,                0.86823,                0.86128,                0.74695,                0.77184,                0.53784,                 2.1473,                 1.7884,                 1.6878,              0.0012872,              0.0012872,              0.0012872
                     20,                 0.9633,                0.68433,                0.86323,                0.87337,                0.73698,                0.77018,                0.50609,                 2.2328,                 1.7517,                  1.734,              0.0012476,              0.0012476,              0.0012476
                     21,                0.93528,                 0.6623,                0.86009,                0.88517,                0.75487,                0.78797,                0.53678,                 2.1713,                 1.8169,                 1.6211,               0.001208,               0.001208,               0.001208
                     22,                0.90098,                0.64489,                0.85643,                0.87743,                0.73461,                0.78695,                0.52621,                 2.2047,                 1.8775,                 1.6923,              0.0011684,              0.0011684,              0.0011684
                     23,                0.89684,                0.63849,                0.85493,                0.90702,                0.75186,                0.79208,                0.56649,                 2.1195,                 1.8949,                 1.6324,              0.0011288,              0.0011288,              0.0011288
                     24,                0.86999,                0.61572,                0.85412,                0.88878,                0.75876,                0.78832,                0.55299,                 2.2079,                 1.6712,                 1.7428,              0.0010892,              0.0010892,              0.0010892
                     25,                0.85946,                0.60528,                0.84785,                0.92036,                0.75352,                0.80287,                0.57163,                 2.1487,                 1.8264,                  1.695,              0.0010496,              0.0010496,              0.0010496
                     26,                0.84884,                0.58854,                0.84551,                0.92147,                0.75692,                0.79926,                0.55881,                 2.1444,                 1.7518,                 1.6865,                0.00101,                0.00101,                0.00101
                     27,                0.81516,                0.57207,                0.84314,                0.92274,                0.74062,                0.79472,                0.51878,                 2.1388,                 1.8772,                 1.6265,              0.0009704,              0.0009704,              0.0009704
                     28,                0.80874,                0.56586,                0.84066,                0.90409,                 0.7638,                0.81347,                0.58668,                 2.1826,                 1.7571,                 1.7361,              0.0009308,              0.0009308,              0.0009308
                     29,                0.80866,                0.56092,                0.83711,                0.92807,                 0.7657,                0.80638,                0.59036,                 2.0919,                 1.8694,                  1.661,              0.0008912,              0.0008912,              0.0008912
                     30,                 0.7993,                0.57441,                0.84187,                0.93442,                0.74996,                0.79937,                  0.579,                 2.0728,                 1.9817,                 1.6317,              0.0008516,              0.0008516,              0.0008516
                     31,                0.79691,                0.55905,                0.83717,                0.92065,                0.76565,                0.80035,                0.57168,                 2.0602,                 1.8292,                 1.6441,               0.000812,               0.000812,               0.000812
                     32,                0.78634,                0.55114,                 0.8367,                0.91631,                0.76389,                0.80935,                0.60206,                 2.0052,                 1.9497,                 1.6314,              0.0007724,              0.0007724,              0.0007724
                     33,                0.76614,                0.52792,                0.83214,                0.91728,                0.75328,                0.80437,                0.58204,                 2.1139,                 1.7368,                 1.7126,              0.0007328,              0.0007328,              0.0007328
                     34,                0.73691,                0.51467,                0.83158,                0.92994,                0.73651,                0.80745,                0.57372,                 2.0652,                 1.8242,                 1.6526,              0.0006932,              0.0006932,              0.0006932
                     35,                0.72584,                0.51058,                0.82549,                 0.9238,                0.76357,                0.82041,                0.61105,                 2.0816,                 1.8754,                 1.6883,              0.0006536,              0.0006536,              0.0006536
                     36,                0.73124,                0.51461,                0.82902,                0.91481,                0.75692,                0.80263,                0.59304,                 2.0867,                 1.7495,                 1.7372,               0.000614,               0.000614,               0.000614
                     37,                0.71959,                0.50438,                0.82819,                0.93172,                 0.7623,                0.82015,                0.61582,                 2.0697,                  1.818,                 1.7229,              0.0005744,              0.0005744,              0.0005744
                     38,                 0.7139,                0.49872,                0.82533,                0.92598,                0.75621,                0.81209,                0.59749,                 2.0793,                 1.7082,                 1.7209,              0.0005348,              0.0005348,              0.0005348
                     39,                0.70133,                0.48518,                0.82562,                0.92299,                0.77382,                0.81473,                0.61798,                 2.0375,                 1.7428,                 1.7227,              0.0004952,              0.0004952,              0.0004952
                     40,                0.70792,                0.48995,                 0.8233,                0.93321,                0.77117,                0.81703,                  0.605,                 2.0728,                 1.8514,                 1.7087,              0.0004556,              0.0004556,              0.0004556
                     41,                0.65159,                0.45007,                0.81976,                0.91903,                0.77117,                0.81086,                0.60155,                 2.0587,                 1.6866,                  1.743,               0.000416,               0.000416,               0.000416
                     42,                0.62028,                0.42831,                0.81384,                0.92524,                0.77338,                0.80845,                0.60171,                 2.0581,                 1.7834,                 1.7327,              0.0003764,              0.0003764,              0.0003764
                     43,                0.60023,                0.41611,                0.81231,                0.94452,                0.77322,                0.81706,                0.62296,                 2.0372,                 1.8656,                 1.7117,              0.0003368,              0.0003368,              0.0003368
                     44,                0.58964,                0.40791,                 0.8084,                0.94169,                0.77185,                 0.8253,                0.61292,                 2.0873,                 1.7881,                 1.7382,              0.0002972,              0.0002972,              0.0002972
                     45,                0.57485,                0.40376,                0.80818,                0.94004,                0.76667,                0.81691,                0.60545,                 2.0704,                 1.7749,                 1.7292,              0.0002576,              0.0002576,              0.0002576
                     46,                0.57025,                0.39838,                0.80678,                0.93914,                0.76943,                0.81561,                0.62017,                 2.0329,                 1.8046,                 1.7018,               0.000218,               0.000218,               0.000218
                     47,                0.55482,                0.39438,                0.80719,                0.93807,                0.77164,                0.81679,                0.61805,                 2.0494,                 1.7697,                 1.7192,              0.0001784,              0.0001784,              0.0001784
                     48,                0.54251,                0.38209,                0.80595,                0.93538,                0.77203,                0.81267,                0.60427,                 2.0749,                 1.8318,                 1.7362,              0.0001388,              0.0001388,              0.0001388
                     49,                0.54055,                0.38443,                0.80287,                0.93102,                0.77319,                0.81758,                 0.6194,                 2.0493,                 1.8188,                 1.7244,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.51964,                0.37516,                0.80078,                0.93531,                0.77259,                0.82104,                 0.6175,                 2.0592,                 1.8204,                 1.7288,               5.96e-05,               5.96e-05,               5.96e-05
