                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8708,                 2.3645,                 1.5337,                0.20383,                0.42538,                0.15684,                0.05921,                  2.837,                 2.2637,                 1.8262,             0.00065728,             0.00065728,             0.00065728
                      2,                 1.9395,                 1.4046,                 1.1403,                0.37221,                0.58004,                0.36511,                0.14573,                 2.9112,                 2.2323,                 2.1479,              0.0012977,              0.0012977,              0.0012977
                      3,                 1.6412,                 1.1592,                 1.0523,                0.61156,                0.61066,                0.55599,                0.25479,                 2.6199,                 2.1094,                 1.8803,              0.0019118,              0.0019118,              0.0019118
                      4,                 1.4346,                 1.0276,                0.98897,                0.75763,                0.67099,                0.70902,                0.40817,                 2.4396,                 2.1162,                 1.7701,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.3096,                0.93438,                0.95441,                0.81374,                0.70312,                 0.7425,                0.43237,                 2.4336,                 2.0273,                 1.7925,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.1686,                0.84141,                 0.9156,                0.80093,                0.69821,                 0.7294,                0.45233,                 2.4039,                 1.9877,                  1.789,               0.001802,               0.001802,               0.001802
                      7,                 1.0712,                 0.7992,                0.89668,                0.83199,                0.73979,                0.74619,                0.50264,                 2.2889,                 1.9865,                 1.7969,              0.0017624,              0.0017624,              0.0017624
                      8,                  1.026,                0.77228,                0.88606,                0.84641,                0.71356,                0.75116,                0.52534,                  2.201,                 1.7468,                 1.7906,              0.0017228,              0.0017228,              0.0017228
                      9,                0.99133,                0.72104,                0.87958,                 0.8299,                0.74045,                0.76367,                0.50948,                 2.3425,                 1.8685,                 1.8476,              0.0016832,              0.0016832,              0.0016832
                     10,                0.94282,                0.68134,                0.86675,                0.86907,                 0.7517,                0.76152,                  0.484,                 2.3662,                 1.8959,                 1.8559,              0.0016436,              0.0016436,              0.0016436
